date,status,fulfilment,sales_channel,ship_service_level,style,sku,category,size,qty,amount,ship_state,b2b,fulfilled_by
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3775,jne3775_kr_xxxl,kurta,3xl,1,0.0,tamil_nadu,False,easy_ship
2022-05-01,shipped,amazon,amazon.in,expedited,jne3373,jne3373_kr_xxl,kurta,xxl,1,376.0,karnataka,False,
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3654,jne3654_tp_xxl,top,xxl,1,387.0,maharashtra,False,easy_ship
2022-05-01,shipped,amazon,amazon.in,standard,set280,set280_kr_pp_s,set,s,1,0.0,punjab,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3405,jne3405_kr_xl,kurta,xl,1,399.0,tamil_nadu,False,
2022-05-01,cancelled,amazon,amazon.in,expedited,set269,set269_kr_np_l,set,l,1,824.0,uttar_pradesh,False,
2022-05-01,cancelled,amazon,amazon.in,expedited,jne3805,jne3805_kr_l,kurta,l,1,459.0,uttar_pradesh,False,
2022-05-01,shipped,amazon,amazon.in,expedited,j0346,j0346_set_xs,set,xs,1,478.0,maharashtra,False,
2022-05-01,shipped,amazon,amazon.in,expedited,set344,set344_kr_np_s,set,s,1,968.0,delhi,False,
2022-05-01,shipped,amazon,amazon.in,expedited,j0378,j0378_skd_s,set,s,1,1099.0,delhi,False,
2022-05-01,shipped,amazon,amazon.in,expedited,set313,set313_kr_np_s,set,s,1,1099.0,delhi,False,
2022-05-01,shipped,amazon,amazon.in,expedited,men5025,men5025_kr_m,kurta,m,1,549.0,karnataka,False,
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3805,jne3805_kr_xxl,kurta,xxl,1,459.0,haryana,False,easy_ship
2022-05-01,shipped,amazon,amazon.in,expedited,jne3785,jne3785_kr_xl,kurta,xl,1,362.0,uttar_pradesh,False,
2022-05-01,shipped,amazon,amazon.in,expedited,set398,set398_kr_pp_l,set,l,1,1186.0,manipur,False,
